model,target,location,season,disease,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,wis_relative_skill,wis_scaled_relative_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden,omega
Baseline,wk inc hosp,wa,2023-2024,Influenza,0,0.24807152007313887,0.11596171133110351,0.061653375161643834,0.07045643358039154,0.12068965517241381,0.2413793103448276,0.9310344827586207,0.3596351132400696,1.027143272168368,1,7738692,116.44970943,11343.426470588236,90,2261,0.003205600120448506,0.0021302888713711997,2.1869187473145813e-5,0.0027563502230348765,1.0971761170859747e-4,14.514525979157533
Baseline,wk inc hosp,wi,2023-2024,Influenza,0,0.24367417692096768,0.07140096954659694,0.10114708325654173,0.07112612411782898,-0.0682758620689655,0.20689655172413793,0.7586206896551724,0.3589520637184199,1.0912603629010063,1,5895908,108.84615502,11316.063725490196,130,3621,0.004132937232415561,0.0022387026613498073,2.1533475140483275e-5,0.0018744167455459052,6.729471884036666e-5,13.592309437529549
Baseline,wk inc hosp,wv,2023-2024,Influenza,0,0.24922894383114247,0.07516359523728666,0.08135061031437094,0.09271473827948488,-0.009999999999999997,0.27586206896551724,0.7931034482758621,0.3406118775128703,1.102033618921693,1,1782959,74.162762892,4937.563725490196,50,2249,0.013978388949557587,0.003360567137905632,5.0476096651572693e-5,0.00498457887662285,1.1081767177907625e-4,14.471770862312749
Baseline,wk inc hosp,wy,2023-2024,Influenza,0,0.34624043255253717,0.1428475832948596,0.13956109988656334,0.0638317493711142,0.02758620689655173,0.2413793103448276,0.7241379310344828,0.5134108347388374,0.9845045086643681,1,578803,5.9615893092,1287.3333333333333,24,704,0.05982008257602969,0.0580785449306638,2.689594245617845e-4,0.01442668468968905,4.918187962393994e-4,12.666242747047052
Baseline,wk inc hosp,ak,2022-2023,COVID-19,1,0.483506229424287,0.06342270281058453,0.006997073297017763,0.4130864533166847,0.09473684210526313,1,1,0.5942478993984973,1.4637658581849358,1,732673,1.2830925496,1411.8983516483515,14,1662,0.06599209052664518,0.3768288028599484,3.424511607792495e-4,0.03453615924459193,2.9091830891954693e-4,11.575084404870283
Baseline,wk inc hosp,ak,2022-2023,Influenza,1,0.418788539121361,0.1695657321823722,0.1357428118810238,0.11347999505796501,0.0946875,0.375,0.71875,0.6551594602874203,1.0039690274432158,1,732673,1.2830925496,1411.8983516483515,14,590,0.05715899714079282,0.3263899702729292,2.9661380270926526e-4,0.029913467080097213,7.098110832565441e-4,11.211266289672928
Baseline,wk inc hosp,ak,2023-2024,COVID-19,1,0.5024450005024731,0.018136094729417355,0.026859523308463334,0.4574493824645924,-0.05238095238095241,1,1,0.5903084128928955,1.6228317556635519,1,732673,1.2830925496,1312.7941176470588,14,708,0.06857697779261322,0.3915890561901468,3.82729472769891e-4,0.03588892860731951,7.096680798057529e-4,11.621711707632477
Baseline,wk inc hosp,ak,2023-2024,Influenza,1,0.37137905315416525,0.12697836239160384,0.09198298005012326,0.15241771071243812,0.07428571428571429,0.42857142857142855,0.9642857142857143,0.5682848827190072,0.9810503955122802,1,732673,1.2830925496,1312.7941176470588,14,325,0.05068824061404819,0.2894405810944358,2.828920758875685e-4,0.026527075225297517,0.001142704778935893,10.541398766009557
Baseline,wk inc hosp,al,2022-2023,COVID-19,1,0.5284848089295795,0.006103715982763609,0.022735980861183232,0.4996451120856326,-0.08684210526315791,0.9736842105263158,1,0.31911818192115693,2.2273090930761565,1,5039877,99.509912915,13304.326923076924,95,15826,0.010486065610918272,0.00531087600670502,3.972277680676202e-5,0.0055629979887324155,3.339345437442054e-5,14.199152960488648
Baseline,wk inc hosp,al,2022-2023,Influenza,1,0.2465453620130567,0.06366651964723745,0.06914639670143603,0.11373244566438323,0.046875,0.4375,0.78125,0.31179247226611667,1.1188858269040889,1,5039877,99.509912915,13304.326923076924,95,3564,0.004891892441284911,0.002477595998135908,1.8531216456009755e-5,0.0025952143369795443,6.91765886680855e-5,19.951969451625406
Baseline,wk inc hosp,al,2023-2024,COVID-19,1,0.5919257734357866,0.006876498490360788,0.028367533386219848,0.5566817415592059,-0.07619047619047621,1,1,0.370271529903542,2.0658103037250495,1,5039877,99.509912915,12738.009803921568,95,8739,0.01174484562690293,0.005948410124139104,4.646925089141902e-5,0.006230797615113543,6.773381089778997e-5,15.3271526862507
Baseline,wk inc hosp,al,2023-2024,Influenza,1,0.30667639609658903,0.11274540986744881,0.09311019175977127,0.10082079446936892,0.05178571428571429,0.21428571428571427,0.8571428571428571,0.42113448533513326,1.2207086025980796,1,5039877,99.509912915,12738.009803921568,95,3043,0.006084997631818971,0.003081867797015839,2.4075691636080746e-5,0.003228172590490411,1.0078093857922742e-4,18.228291453119773
Baseline,wk inc hosp,ar,2022-2023,COVID-19,1,0.5476831636734185,0.015364261659972329,0.017560779750051898,0.5147581222633943,-0.031578947368421074,1,1,0.3626953029899729,2.2572852336020315,1,3025891,58.194678618,7641.046703296704,85,8346,0.01809989730870737,0.009411224130448526,7.167645807440523e-5,0.006443331337334336,6.562223384536526e-5,14.074662947845207
Baseline,wk inc hosp,ar,2022-2023,Influenza,1,0.23435466454861797,0.06362092614377275,0.06108496138522934,0.10964877701961588,0.106875,0.40625,0.78125,0.2853904132643797,1.0671675493051522,1,3025891,58.194678618,7641.046703296704,85,3423,0.007744980389201659,0.00402708065606759,3.0670492361669044e-5,0.002757113700571976,6.84646989624943e-5,18.023459258186637
