state,omega,pop,season,cadence,location_level,disease
mn,7.393697023915191,5639632,2023-2024,Weekly,state,COVID-19
mo,12.712807122264003,6137428,2023-2024,Weekly,state,COVID-19
mt,9.957897050963227,1068778,2023-2024,Weekly,state,COVID-19
nc,10.768832228759695,10488084,2023-2024,Weekly,state,COVID-19
ne,9.328816586443779,1934408,2023-2024,Weekly,state,COVID-19
nh,5.418526382163746,1359711,2023-2024,Weekly,state,COVID-19
nj,11.28177613896285,8882190,2023-2024,Weekly,state,COVID-19
nm,9.047023894424033,2096829,2023-2024,Weekly,state,COVID-19
nv,11.81704605940932,3080156,2023-2024,Weekly,state,COVID-19
oh,11.116285296864836,11689100,2023-2024,Weekly,state,COVID-19
ok,13.402926718872433,3956971,2023-2024,Weekly,state,COVID-19
or,4.300152143866476,4217737,2023-2024,Weekly,state,COVID-19
pa,4.616172913465366,12801989,2023-2024,Weekly,state,COVID-19
sc,8.896316392702685,5148714,2023-2024,Weekly,state,COVID-19
sd,8.338968618589593,884659,2023-2024,Weekly,state,COVID-19
tn,10.843127113512773,6829174,2023-2024,Weekly,state,COVID-19
tx,15.715710752102318,28995881,2023-2024,Weekly,state,COVID-19
ut,8.873252167046674,3205958,2023-2024,Weekly,state,COVID-19
va,8.846429179794201,8535519,2023-2024,Weekly,state,COVID-19
vt,13.622812864799194,623989,2023-2024,Weekly,state,COVID-19
wa,8.13649741190694,7614893,2023-2024,Weekly,state,COVID-19
wi,8.590149462536322,5822434,2023-2024,Weekly,state,COVID-19
wv,10.353031048557071,1792147,2023-2024,Weekly,state,COVID-19
wy,10.10226387432207,578759,2023-2024,Weekly,state,COVID-19
nd,5.436937444446299,762062,2023-2024,Weekly,state,COVID-19
