state,omega,pop,season,disease
co,9.338187050043311,5758736,2024-2025,COVID-19
ct,14.050494465232966,3565287,2024-2025,COVID-19
dc,12.415494546160888,705749,2024-2025,COVID-19
de,13.124406626107499,973764,2024-2025,COVID-19
fl,20.479660358633456,21477737,2024-2025,COVID-19
ga,17.7997306738934,10617423,2024-2025,COVID-19
hi,19.3261284884093,1415872,2024-2025,COVID-19
ia,13.521177723614485,3155070,2024-2025,COVID-19
id,14.26974411245807,1787065,2024-2025,COVID-19
il,16.99636719391978,12671821,2024-2025,COVID-19
in,14.14817360328734,6732219,2024-2025,COVID-19
ks,8.547887056273751,2913314,2024-2025,COVID-19
ky,16.163148365542234,4467673,2024-2025,COVID-19
la,16.997217543564712,4648794,2024-2025,COVID-19
ma,20.125896236416896,6892503,2024-2025,COVID-19
md,18.627809188028653,6045680,2024-2025,COVID-19
me,13.797265661399516,1344212,2024-2025,COVID-19
mi,17.470960448854978,9986857,2024-2025,COVID-19
mn,15.597123695124715,5639632,2024-2025,COVID-19
ms,15.386868545495226,2976149,2024-2025,COVID-19
mt,7.698521977692185,1068778,2024-2025,COVID-19
nc,22.799615345988776,10488084,2024-2025,COVID-19
nd,8.3419952336232015,762062,2024-2025,COVID-19
ne,8.698385045710177,1934408,2024-2025,COVID-19
nh,15.17506065889761,1359711,2024-2025,COVID-19
nj,16.9632490883612,8882190,2024-2025,COVID-19
nm,10.190955855191596,2096829,2024-2025,COVID-19
nv,14.22107055678733,3080156,2024-2025,COVID-19
ny,17.30339878223768,19453561,2024-2025,COVID-19
oh,18.13106845564648,11689100,2024-2025,COVID-19
ok,11.776189115213976,3956971,2024-2025,COVID-19
or,18.98703072154936,4217737,2024-2025,COVID-19
pa,19.430186274815565,12801989,2024-2025,COVID-19
ri,8.249691119108359,1059361,2024-2025,COVID-19
sc,17.250970449607085,5148714,2024-2025,COVID-19
sd,8.606199373320978,884659,2024-2025,COVID-19
tn,17.979165010489073,6829174,2024-2025,COVID-19
tx,17.64426194287514,28995881,2024-2025,COVID-19
us,26.42959462458667,328239523,2024-2025,COVID-19
ut,17.96785059344892,3205958,2024-2025,COVID-19
va,20.626109480953314,8535519,2024-2025,COVID-19
vt,11.265091486216916,623989,2024-2025,COVID-19
wa,20.106034433691335,7614893,2024-2025,COVID-19
wi,20.296721748066116,5822434,2024-2025,COVID-19
wv,15.744904891751688,1792147,2024-2025,COVID-19
