state,omega,pop,season,cadence,location_level,disease
ks,11.77484317880182,2913314,2023-2024,Weekly,state,Influenza
ky,8.170899230654094,4467673,2023-2024,Weekly,state,Influenza
la,8.56928141972768,4648794,2023-2024,Weekly,state,Influenza
ma,10.959435720704535,6892503,2023-2024,Weekly,state,Influenza
md,7.844262012698911,6045680,2023-2024,Weekly,state,Influenza
me,6.492782645507312,1344212,2023-2024,Weekly,state,Influenza
mi,10.074871224266646,9986857,2023-2024,Weekly,state,Influenza
mn,6.496092116500729,5639632,2023-2024,Weekly,state,Influenza
mo,9.582369371586264,6137428,2023-2024,Weekly,state,Influenza
ms,8.560243316359173,2976149,2023-2024,Weekly,state,Influenza
mt,9.023083304011148,1068778,2023-2024,Weekly,state,Influenza
nc,7.055298464878613,10488084,2023-2024,Weekly,state,Influenza
nd,6.632005556033227,762062,2023-2024,Weekly,state,Influenza
ne,8.455348915186367,1934408,2023-2024,Weekly,state,Influenza
nh,7.764441154671397,1359711,2023-2024,Weekly,state,Influenza
nj,8.535119509489208,8882190,2023-2024,Weekly,state,Influenza
nm,11.400881329810497,2096829,2023-2024,Weekly,state,Influenza
nv,10.21171746949211,3080156,2023-2024,Weekly,state,Influenza
ny,9.374756448588128,19453561,2023-2024,Weekly,state,Influenza
oh,15.564281796887713,11689100,2023-2024,Weekly,state,Influenza
ok,6.640172263920052,3956971,2023-2024,Weekly,state,Influenza
or,7.30040223374443,4217737,2023-2024,Weekly,state,Influenza
pa,4.57925282721151,12801989,2023-2024,Weekly,state,Influenza
ri,7.712167763401512,1059361,2023-2024,Weekly,state,Influenza
sc,8.813607784201128,5148714,2023-2024,Weekly,state,Influenza
sd,11.743269371299913,884659,2023-2024,Weekly,state,Influenza
tn,4.7941392611899225,6829174,2023-2024,Weekly,state,Influenza
tx,16.13740325964913,28995881,2023-2024,Weekly,state,Influenza
us,10.913262470383444,328239523,2023-2024,Weekly,state,Influenza
ut,8.37451829230048,3205958,2023-2024,Weekly,state,Influenza
va,2.893935064171571,8535519,2023-2024,Weekly,state,Influenza
vt,8.936255772507062,623989,2023-2024,Weekly,state,Influenza
wa,9.925514241911305,7614893,2023-2024,Weekly,state,Influenza
wi,6.32753153969281,5822434,2023-2024,Weekly,state,Influenza
wv,10.144634134469943,1792147,2023-2024,Weekly,state,Influenza
wy,5.497163411410777,578759,2023-2024,Weekly,state,Influenza
