state,omega,pop,season,cadence,location_level,disease
ny,15.233240505559609,19453561,2022-2023,Weekly,state,COVID-19
ms,8.385798903496323,2976149,2022-2023,Weekly,state,COVID-19
me,9.299164030514396,1344212,2022-2023,Weekly,state,COVID-19
ga,17.136750612073048,10617423,2022-2023,Weekly,state,COVID-19
ak,11.787944865242917,731545,2022-2023,Weekly,state,COVID-19
al,15.40785961185348,4903185,2022-2023,Weekly,state,COVID-19
ar,13.048129525059348,3017804,2022-2023,Weekly,state,COVID-19
az,19.334636125893944,7278717,2022-2023,Weekly,state,COVID-19
ca,18.061113393203364,39512223,2022-2023,Weekly,state,COVID-19
co,17.86440463150688,5758736,2022-2023,Weekly,state,COVID-19
ct,8.712749549364219,3565287,2022-2023,Weekly,state,COVID-19
dc,9.702280176428834,705749,2022-2023,Weekly,state,COVID-19
de,5.538516906108448,973764,2022-2023,Weekly,state,COVID-19
fl,26.086010699344175,21477737,2022-2023,Weekly,state,COVID-19
hi,14.055991969161596,1415872,2022-2023,Weekly,state,COVID-19
ia,12.446332101733171,3155070,2022-2023,Weekly,state,COVID-19
id,10.238797345299133,1787065,2022-2023,Weekly,state,COVID-19
il,13.759602863130526,12671821,2022-2023,Weekly,state,COVID-19
in,15.617618613125595,6732219,2022-2023,Weekly,state,COVID-19
ks,9.697497987935966,2913314,2022-2023,Weekly,state,COVID-19
ky,9.690594601963653,4467673,2022-2023,Weekly,state,COVID-19
la,12.80013535539769,4648794,2022-2023,Weekly,state,COVID-19
ma,11.5395865637283,6892503,2022-2023,Weekly,state,COVID-19
md,14.266920072682598,6045680,2022-2023,Weekly,state,COVID-19
mi,18.03866107112939,9986857,2022-2023,Weekly,state,COVID-19
mn,10.57722856002673,5639632,2022-2023,Weekly,state,COVID-19
mo,10.267180849223346,6137428,2022-2023,Weekly,state,COVID-19
mt,16.982223644436246,1068778,2022-2023,Weekly,state,COVID-19
nc,10.471997465845517,10488084,2022-2023,Weekly,state,COVID-19
ne,12.80860308786853,1934408,2022-2023,Weekly,state,COVID-19
nh,10.049444623871207,1359711,2022-2023,Weekly,state,COVID-19
nj,12.125502824998858,8882190,2022-2023,Weekly,state,COVID-19
nm,14.598770529302008,2096829,2022-2023,Weekly,state,COVID-19
nv,10.705502805489896,3080156,2022-2023,Weekly,state,COVID-19
oh,12.200830642027583,11689100,2022-2023,Weekly,state,COVID-19
ok,16.047946310696915,3956971,2022-2023,Weekly,state,COVID-19
or,10.298722345767608,4217737,2022-2023,Weekly,state,COVID-19
pa,9.907787145852643,12801989,2022-2023,Weekly,state,COVID-19
sc,15.39327769720471,5148714,2022-2023,Weekly,state,COVID-19
sd,8.950487451963484,884659,2022-2023,Weekly,state,COVID-19
tn,15.698506502539189,6829174,2022-2023,Weekly,state,COVID-19
tx,13.525362432589716,28995881,2022-2023,Weekly,state,COVID-19
ut,12.194163550541127,3205958,2022-2023,Weekly,state,COVID-19
va,9.856465341266052,8535519,2022-2023,Weekly,state,COVID-19
vt,12.540471703933543,623989,2022-2023,Weekly,state,COVID-19
wa,9.24998499129911,7614893,2022-2023,Weekly,state,COVID-19
wi,8.679701910631055,5822434,2022-2023,Weekly,state,COVID-19
wv,14.40918705268368,1792147,2022-2023,Weekly,state,COVID-19
wy,11.628308842862356,578759,2022-2023,Weekly,state,COVID-19
nd,14.015132597510249,762062,2022-2023,Weekly,state,COVID-19
us,18.75795668652388,328239523,2023-2024,Weekly,state,COVID-19
ri,7.994707384053157,1059361,2023-2024,Weekly,state,COVID-19
ny,16.236601662927875,19453561,2023-2024,Weekly,state,COVID-19
ms,6.614679039818661,2976149,2023-2024,Weekly,state,COVID-19
me,7.607347923645258,1344212,2023-2024,Weekly,state,COVID-19
ga,20.277932024558876,10617423,2023-2024,Weekly,state,COVID-19
ak,16.13725662134695,731545,2023-2024,Weekly,state,COVID-19
al,16.629364549329274,4903185,2023-2024,Weekly,state,COVID-19
ar,13.228767851604806,3017804,2023-2024,Weekly,state,COVID-19
az,12.078483512378602,7278717,2023-2024,Weekly,state,COVID-19
ca,23.375286268503604,39512223,2023-2024,Weekly,state,COVID-19
co,25.131448935442602,5758736,2023-2024,Weekly,state,COVID-19
ct,11.364132738047417,3565287,2023-2024,Weekly,state,COVID-19
dc,12.06079522149225,705749,2023-2024,Weekly,state,COVID-19
de,9.416717789249496,973764,2023-2024,Weekly,state,COVID-19
fl,40.67748635114997,21477737,2023-2024,Weekly,state,COVID-19
hi,10.693599863566504,1415872,2023-2024,Weekly,state,COVID-19
ia,14.335266622750598,3155070,2023-2024,Weekly,state,COVID-19
id,9.048259232849743,1787065,2023-2024,Weekly,state,COVID-19
il,9.23640561551069,12671821,2023-2024,Weekly,state,COVID-19
in,8.898767510087813,6732219,2023-2024,Weekly,state,COVID-19
ks,12.947308838259152,2913314,2023-2024,Weekly,state,COVID-19
ky,13.112065960331753,4467673,2023-2024,Weekly,state,COVID-19
la,16.269004783064368,4648794,2023-2024,Weekly,state,COVID-19
ma,11.410316397031773,6892503,2023-2024,Weekly,state,COVID-19
md,9.024430055665967,6045680,2023-2024,Weekly,state,COVID-19
mi,14.357107608883002,9986857,2023-2024,Weekly,state,COVID-19
mn,11.042075492999803,5639632,2023-2024,Weekly,state,COVID-19
mo,12.370921897831478,6137428,2023-2024,Weekly,state,COVID-19
mt,10.882201911230005,1068778,2023-2024,Weekly,state,COVID-19
nc,11.419836427246066,10488084,2023-2024,Weekly,state,COVID-19
ne,8.787289873827596,1934408,2023-2024,Weekly,state,COVID-19
nh,7.504420490218299,1359711,2023-2024,Weekly,state,COVID-19
nj,11.673674208860463,8882190,2023-2024,Weekly,state,COVID-19
nm,9.371809747260585,2096829,2023-2024,Weekly,state,COVID-19
nv,7.541238360497815,3080156,2023-2024,Weekly,state,COVID-19
oh,9.02220778085442,11689100,2023-2024,Weekly,state,COVID-19
ok,11.08515900461221,3956971,2023-2024,Weekly,state,COVID-19
or,8.63531423838757,4217737,2023-2024,Weekly,state,COVID-19
pa,4.819711596435072,12801989,2023-2024,Weekly,state,COVID-19
sc,11.54765357829689,5148714,2023-2024,Weekly,state,COVID-19
sd,8.089939998490447,884659,2023-2024,Weekly,state,COVID-19
tn,13.294946408788388,6829174,2023-2024,Weekly,state,COVID-19
tx,14.902122174754318,28995881,2023-2024,Weekly,state,COVID-19
ut,8.610577387727226,3205958,2023-2024,Weekly,state,COVID-19
va,8.426764363275796,8535519,2023-2024,Weekly,state,COVID-19
vt,11.196219420343601,623989,2023-2024,Weekly,state,COVID-19
wa,8.64916651055575,7614893,2023-2024,Weekly,state,COVID-19
wi,10.418746869213091,5822434,2023-2024,Weekly,state,COVID-19
wv,10.229105302872576,1792147,2023-2024,Weekly,state,COVID-19
wy,13.366563273244125,578759,2023-2024,Weekly,state,COVID-19
nd,6.675582535877389,762062,2023-2024,Weekly,state,COVID-19
