location,omega,pop,season,cadence,location_level,disease,log_pop
Kern,15.158827374037443,927251,2023-2024,NA,county,COVID-19,13.73997957380906
Kings,15.199413749387292,156444,2023-2024,NA,county,COVID-19,11.96045339745078
Lake,8.098310518837536,64871,2023-2024,NA,county,COVID-19,11.080155961534562
Los Angeles,61.50266841961511,10257557,2023-2024,NA,county,COVID-19,16.143525260192618
Marin,11.046492116304963,260800,2023-2024,NA,county,COVID-19,12.471509109034635
Mendocino,6.966359055250737,88439,2023-2024,NA,county,COVID-19,11.390068327806597
Merced,19.16082488542762,287420,2023-2024,NA,county,COVID-19,12.568699839628238
Monterey,30.720198955557485,448732,2023-2024,NA,county,COVID-19,13.014181106559528
Napa,15.631577726851464,139652,2023-2024,NA,county,COVID-19,11.846908892788852
Nevada,23.27292242718776,98710,2023-2024,NA,county,COVID-19,11.499941537411933
Orange,15.212799953407963,3228519,2023-2024,NA,county,COVID-19,14.987534076117296
Placer,19.837498588021806,400434,2023-2024,NA,county,COVID-19,12.900304237903036
Riverside,13.931699614395098,2468145,2023-2024,NA,county,COVID-19,14.718977414307515
Sacramento,6.807702230023782,1567975,2023-2024,NA,county,COVID-19,14.265295535887834
San Bernardino,16.884321384681154,2217398,2023-2024,NA,county,COVID-19,14.611844994362734
San Diego,58.49031372149217,3370418,2023-2024,NA,county,COVID-19,15.030547330245073
San Francisco,10.652897555920504,892280,2023-2024,NA,county,COVID-19,13.701535263650719
San Joaquin,53.242485144016726,782545,2023-2024,NA,county,COVID-19,13.570306707730145
San Luis Obispo,14.725589823432028,278862,2023-2024,NA,county,COVID-19,12.538472314780956
San Mateo,12.535926124885755,778001,2023-2024,NA,county,COVID-19,13.564483088506746
Santa Barbara,8.01457606264825,456373,2023-2024,NA,county,COVID-19,13.031065736587339
Santa Clara,11.05471948884096,1967585,2023-2024,NA,county,COVID-19,14.49231746037355
Shasta,15.317291835668223,177925,2023-2024,NA,county,COVID-19,12.089117392167472
Solano,11.232071196946213,444255,2023-2024,NA,county,COVID-19,13.004154000877591
Sonoma,18.321404435048706,496668,2023-2024,NA,county,COVID-19,13.115677073813687
Stanislaus,19.692415761227867,562303,2023-2024,NA,county,COVID-19,13.239796129496366
Tehama,23.65343367748467,65885,2023-2024,NA,county,COVID-19,11.095666076979352
Tulare,19.760517529657196,484423,2023-2024,NA,county,COVID-19,13.090713770954181
Tuolumne,15.001749897204819,52351,2023-2024,NA,county,COVID-19,10.86572631831299
Ventura,10.40719416000676,852747,2023-2024,NA,county,COVID-19,13.656218182244801
Yolo,8.963109854997498,223612,2023-2024,NA,county,COVID-19,12.317667686086015
Yuba,12.40954931013537,79290,2023-2024,NA,county,COVID-19,11.280867296266445
ak,9.864848317650255,731545,2022-2024,Daily,state,Influenza,13.502914014980135
al,16.925094690156595,4903185,2022-2024,Daily,state,Influenza,15.405395551922352
ar,15.825588196320417,3017804,2022-2024,Daily,state,Influenza,14.920039972529695
az,28.635009328938455,7278717,2022-2024,Daily,state,Influenza,15.800465168377697
ca,29.730025522549386,39512223,2022-2024,Daily,state,Influenza,17.492120625041704
co,12.181614310063916,5758736,2022-2024,Daily,state,Influenza,15.566228564146174
ct,15.00635480840964,3565287,2022-2024,Daily,state,Influenza,15.086755113499024
dc,11.309228216119905,705749,2022-2024,Daily,state,Influenza,13.46701492918239
de,13.791170023289201,973764,2022-2024,Daily,state,Influenza,13.788924253470674
fl,19.497990722077464,21477737,2022-2024,Daily,state,Influenza,16.88252746823733
ga,16.94513041951723,10617423,2022-2024,Daily,state,Influenza,16.178006888965257
hi,10.891192149970086,1415872,2022-2024,Daily,state,Influenza,14.163256153669659
ia,15.942017806446906,3155070,2022-2024,Daily,state,Influenza,14.964521240716078
id,15.316236553587547,1787065,2022-2024,Daily,state,Influenza,14.396085167290911
il,23.20347827809338,12671821,2022-2024,Daily,state,Influenza,16.354891267305263
in,22.210266968067003,6732219,2022-2024,Daily,state,Influenza,15.722415364958001
