location,omega,pop,season
Santa Barbara,14.030446587298018,456373,2017-2018
Santa Clara,19.926257198345542,1967585,2017-2018
Santa Cruz,11.935529031862991,273999,2017-2018
Shasta,11.031450957794132,177925,2017-2018
Siskiyou,12.992371087262534,43956,2017-2018
Solano,11.566779536034556,444255,2017-2018
Sonoma,11.478946258293742,496668,2017-2018
Stanislaus,14.601881433566655,562303,2017-2018
Tehama,11.567613803963173,65885,2017-2018
Tulare,13.842544862543459,484423,2017-2018
Tuolumne,8.898548728237376,52351,2017-2018
Ventura,18.518271076901726,852747,2017-2018
Yolo,9.522420147937538,223612,2017-2018
Alameda,11.518395331101372,1685886,2018-2019
Amador,12.520240510691671,38531,2018-2019
Butte,9.968096637262768,217769,2018-2019
California,23.322307267138175,40129160,2018-2019
Contra Costa,12.54311973484148,1160099,2018-2019
Del Norte,11.200808391632878,27558,2018-2019
El Dorado,10.703740275420637,193098,2018-2019
Fresno,12.379010350827413,1032227,2018-2019
Humboldt,10.657239935113639,134098,2018-2019
Imperial,11.306368708541248,191649,2018-2019
Kern,11.892244926921258,927251,2018-2019
Kings,10.593055150192999,156444,2018-2019
Lake,10.985037311957202,64871,2018-2019
Lassen,10.553380331817607,30065,2018-2019
Los Angeles,17.031453225299597,10257557,2018-2019
Madera,12.835615869056593,160089,2018-2019
Marin,10.739619919847932,260800,2018-2019
Mendocino,10.341050550510689,88439,2018-2019
Merced,9.510469885015338,287420,2018-2019
Monterey,11.927662491961755,448732,2018-2019
Napa,11.580914817284981,139652,2018-2019
Nevada,11.26360937819454,98710,2018-2019
Orange,13.191015472756618,3228519,2018-2019
Placer,10.738587138621114,400434,2018-2019
Riverside,10.85964838030209,2468145,2018-2019
Sacramento,10.465404426473846,1567975,2018-2019
San Benito,12.062668771356556,64022,2018-2019
San Bernardino,10.915112989086007,2217398,2018-2019
San Diego,10.5927144001837,3370418,2018-2019
San Francisco,10.917681604850827,892280,2018-2019
San Joaquin,14.186184644829613,782545,2018-2019
San Luis.Obispo,10.021803758108671,NA,2018-2019
San Mateo,9.391517028946872,778001,2018-2019
Santa Barbara,10.702796447821939,456373,2018-2019
Santa Clara,10.325653754342568,1967585,2018-2019
Santa Cruz,8.51230987567586,273999,2018-2019
Shasta,8.62672344972627,177925,2018-2019
Siskiyou,12.11179776912099,43956,2018-2019
Solano,10.55258616708925,444255,2018-2019
Sonoma,10.100969899483303,496668,2018-2019
Stanislaus,11.720514354910417,562303,2018-2019
Tehama,9.750327918733326,65885,2018-2019
Tulare,10.196688265401155,484423,2018-2019
Tuolumne,13.975788542959888,52351,2018-2019
Ventura,12.293132189025979,852747,2018-2019
Yolo,11.590140715652097,223612,2018-2019
Alameda,12.575639848288123,1685886,2019-2020
Amador,11.492691843889292,38531,2019-2020
Butte,11.418013185954168,217769,2019-2020
California,33.35038109170099,40129160,2019-2020
Contra Costa,11.757604098117813,1160099,2019-2020
Del Norte,11.39214499235559,27558,2019-2020
El Dorado,9.762748263672005,193098,2019-2020
Fresno,9.956834568335127,1032227,2019-2020
Humboldt,11.74074391796066,134098,2019-2020
Imperial,9.310294033265142,191649,2019-2020
Kern,10.798922751994821,927251,2019-2020
Kings,11.728274744179734,156444,2019-2020
Lake,10.934639315531802,64871,2019-2020
Lassen,10.064811316443246,30065,2019-2020
Los Angeles,26.540790229745205,10257557,2019-2020
Madera,9.18988480123607,160089,2019-2020
Marin,11.986911170455405,260800,2019-2020
Mendocino,9.327415042712438,88439,2019-2020
Merced,11.015041210672072,287420,2019-2020
Monterey,10.023310638771054,448732,2019-2020
Napa,10.874672943947417,139652,2019-2020
Nevada,12.439930046366444,98710,2019-2020
Orange,15.359983707869795,3228519,2019-2020
Placer,11.087780374572276,400434,2019-2020
Riverside,12.77159622990065,2468145,2019-2020
Sacramento,13.098794033373817,1567975,2019-2020
San Benito,14.455037977987839,64022,2019-2020
San Bernardino,12.788530952263688,2217398,2019-2020
San Diego,16.70374232203936,3370418,2019-2020
San Francisco,9.96283290373131,892280,2019-2020
San Joaquin,11.088521351289716,782545,2019-2020
San Luis.Obispo,11.833163947595548,NA,2019-2020
San Mateo,10.428396327572631,778001,2019-2020
Santa Barbara,13.446578400377762,456373,2019-2020
Santa Clara,11.6749483699229,1967585,2019-2020
Santa Cruz,14.064496740095967,273999,2019-2020
Shasta,11.450703815873464,177925,2019-2020
Siskiyou,12.71078668774509,43956,2019-2020
Solano,10.541760567803903,444255,2019-2020
Sonoma,11.981542159922732,496668,2019-2020
Stanislaus,12.127100626173238,562303,2019-2020
Tehama,9.601667942387305,65885,2019-2020
Tulare,9.449183549260454,484423,2019-2020
Tuolumne,12.3545372399815,52351,2019-2020
Ventura,11.606256635548796,852747,2019-2020
Yolo,10.670969325657309,223612,2019-2020
Alameda,13.746987575711389,1685886,2021-2022
Amador,10.453484256445943,38531,2021-2022
Butte,10.353079432842716,217769,2021-2022
California,19.32346908192685,40129160,2021-2022
Contra Costa,11.690042545775903,1160099,2021-2022
Del Norte,11.40196732177553,27558,2021-2022
El Dorado,11.375974539697896,193098,2021-2022
Fresno,11.578337792267835,1032227,2021-2022
Humboldt,10.856968158820223,134098,2021-2022
Imperial,9.855380787342682,191649,2021-2022
Kern,13.224875040489813,927251,2021-2022
Kings,10.970299510058833,156444,2021-2022
Lake,12.062613700489322,64871,2021-2022
Lassen,11.874671020690375,30065,2021-2022
Los Angeles,10.105439916974179,10257557,2021-2022
Madera,12.133252828716179,160089,2021-2022
Marin,13.327865659731387,260800,2021-2022
Mendocino,10.887598750005512,88439,2021-2022
Merced,9.95097452469712,287420,2021-2022
Monterey,9.544780517367645,448732,2021-2022
Napa,11.458250817915017,139652,2021-2022
Nevada,11.483862395629806,98710,2021-2022
Orange,10.011272512632907,3228519,2021-2022
Placer,10.035360178894114,400434,2021-2022
Riverside,13.473610750208387,2468145,2021-2022
Sacramento,11.810357663735338,1567975,2021-2022
San Benito,10.108115568335919,64022,2021-2022
San Bernardino,11.997964864726896,2217398,2021-2022
San Diego,12.29929547363453,3370418,2021-2022
San Francisco,10.897679172095664,892280,2021-2022
San Joaquin,11.199369886764677,782545,2021-2022
San Luis.Obispo,11.561431481067485,NA,2021-2022
San Mateo,12.178727448501824,778001,2021-2022
Santa Barbara,9.56778600694841,456373,2021-2022
Santa Clara,12.195755868899049,1967585,2021-2022
Santa Cruz,10.42198397441444,273999,2021-2022
Shasta,10.484893550491881,177925,2021-2022
Siskiyou,10.692884208524367,43956,2021-2022
Solano,9.157836521889228,444255,2021-2022
Sonoma,11.960962404750763,496668,2021-2022
Stanislaus,8.542277633410134,562303,2021-2022
Tehama,11.111087198076008,65885,2021-2022
Tulare,10.501773115937741,484423,2021-2022
Tuolumne,9.57595685130359,52351,2021-2022
Ventura,12.307197134089098,852747,2021-2022
Yolo,9.523245240770006,223612,2021-2022
