geo_value,time_value,value
ut,2022-11-12,1.21
va,2022-11-12,7.71
vt,2022-11-12,0.52
wa,2022-11-12,2.9
wi,2022-11-12,0.95
wv,2022-11-12,4.64
wy,2022-11-12,4.83
ak,2022-11-19,6.82
al,2022-11-19,6.15
ar,2022-11-19,6.26
az,2022-11-19,3.17
ca,2022-11-19,3.94
co,2022-11-19,3.25
ct,2022-11-19,3.51
dc,2022-11-19,5.05
de,2022-11-19,5.01
fl,2022-11-19,2.88
ga,2022-11-19,2.92
hi,2022-11-19,1.49
ia,2022-11-19,1.07
id,2022-11-19,2.02
il,2022-11-19,5.96
in,2022-11-19,5.49
ks,2022-11-19,4.3
ky,2022-11-19,7.11
la,2022-11-19,5.46
ma,2022-11-19,1.27
md,2022-11-19,5.52
me,2022-11-19,1.06
mi,2022-11-19,0.95
mn,2022-11-19,7.21
ms,2022-11-19,8.48
mt,2022-11-19,1.53
nc,2022-11-19,7.8
nd,2022-11-19,1.29
ne,2022-11-19,2.84
nh,2022-11-19,1.09
nj,2022-11-19,3.98
nm,2022-11-19,3.35
nv,2022-11-19,2.86
ny,2022-11-19,2.18
oh,2022-11-19,4.41
ok,2022-11-19,3.27
or,2022-11-19,4.4
pa,2022-11-19,2.86
ri,2022-11-19,1.34
sc,2022-11-19,5.83
sd,2022-11-19,1.48
tn,2022-11-19,6.6
tx,2022-11-19,6.45
ut,2022-11-19,2.23
va,2022-11-19,6.97
vt,2022-11-19,1.3
wa,2022-11-19,6.24
wi,2022-11-19,1.78
wv,2022-11-19,5.47
wy,2022-11-19,5.39
ak,2022-11-26,8.67
al,2022-11-26,7.19
ar,2022-11-26,9.23
az,2022-11-26,5.47
ca,2022-11-26,6.09
co,2022-11-26,4.93
ct,2022-11-26,6.98
dc,2022-11-26,6.99
de,2022-11-26,8.35
fl,2022-11-26,3.64
ga,2022-11-26,3.58
hi,2022-11-26,2.35
ia,2022-11-26,3.46
id,2022-11-26,4.72
il,2022-11-26,10.04
in,2022-11-26,10.55
ks,2022-11-26,7.94
ky,2022-11-26,13.19
la,2022-11-26,7.12
ma,2022-11-26,3.15
md,2022-11-26,7.7
me,2022-11-26,3.3
mi,2022-11-26,2.27
mn,2022-11-26,11.47
ms,2022-11-26,10.82
mt,2022-11-26,3.99
nc,2022-11-26,9.24
nd,2022-11-26,2.85
ne,2022-11-26,5.38
nh,2022-11-26,2.45
nj,2022-11-26,7.18
nm,2022-11-26,8.28
nv,2022-11-26,5.35
ny,2022-11-26,4.19
oh,2022-11-26,7.83
ok,2022-11-26,7.85
or,2022-11-26,9.57
pa,2022-11-26,5.72
ri,2022-11-26,3.12
sc,2022-11-26,6.39
sd,2022-11-26,3.17
tn,2022-11-26,10.17
tx,2022-11-26,8.61
ut,2022-11-26,3.84
va,2022-11-26,9.04
vt,2022-11-26,3.3
wa,2022-11-26,11.35
wi,2022-11-26,4.39
wv,2022-11-26,9.04
wy,2022-11-26,7.59
ak,2022-12-03,9.85
al,2022-12-03,4.69
ar,2022-12-03,6.8
az,2022-12-03,6.24
ca,2022-12-03,5.86
co,2022-12-03,5.32
ct,2022-12-03,8.06
dc,2022-12-03,5.62
de,2022-12-03,7.77
fl,2022-12-03,3.32
ga,2022-12-03,2.49
hi,2022-12-03,2.06
ia,2022-12-03,4.13
id,2022-12-03,5.16
il,2022-12-03,8.78
in,2022-12-03,11.22
ks,2022-12-03,7.59
ky,2022-12-03,10.59
la,2022-12-03,5.31
ma,2022-12-03,5.27
md,2022-12-03,6.37
me,2022-12-03,5.56
mi,2022-12-03,3.51
mn,2022-12-03,10.93
ms,2022-12-03,6.83
mt,2022-12-03,4.88
nc,2022-12-03,7.96
nd,2022-12-03,4.22
ne,2022-12-03,6
nh,2022-12-03,3.43
nj,2022-12-03,7.51
nm,2022-12-03,8.82
nv,2022-12-03,5.91
ny,2022-12-03,4.93
oh,2022-12-03,7.68
ok,2022-12-03,7.64
or,2022-12-03,9.71
pa,2022-12-03,6.31
ri,2022-12-03,5.4
sc,2022-12-03,5.14
sd,2022-12-03,3.88
tn,2022-12-03,7.97
tx,2022-12-03,6.36
ut,2022-12-03,5.18
va,2022-12-03,7.25
vt,2022-12-03,4.59
wa,2022-12-03,11.13
wi,2022-12-03,5
wv,2022-12-03,8.05
wy,2022-12-03,5.59
ak,2022-12-10,10.16
al,2022-12-10,3.03
ar,2022-12-10,5.14
az,2022-12-10,6.3
ca,2022-12-10,5.34
co,2022-12-10,5.29
ct,2022-12-10,6.96
dc,2022-12-10,3.77
de,2022-12-10,7.35
fl,2022-12-10,3.28
ga,2022-12-10,1.86
hi,2022-12-10,3.44
ia,2022-12-10,6.11
id,2022-12-10,7.2
il,2022-12-10,7.81
in,2022-12-10,11
ks,2022-12-10,7.64
ky,2022-12-10,7.72
la,2022-12-10,4.02
ma,2022-12-10,6.89
md,2022-12-10,4.51
me,2022-12-10,7.68
mi,2022-12-10,5.84
mn,2022-12-10,8.57
ms,2022-12-10,3.94
mt,2022-12-10,5.58
nc,2022-12-10,5.45
nd,2022-12-10,8.38
ne,2022-12-10,7.14
nh,2022-12-10,4.93
nj,2022-12-10,6.46
nm,2022-12-10,12.35
nv,2022-12-10,5.97
ny,2022-12-10,5.24
oh,2022-12-10,7.35
ok,2022-12-10,8.49
or,2022-12-10,9.99
pa,2022-12-10,5.61
ri,2022-12-10,6.06
sc,2022-12-10,3.39
sd,2022-12-10,4.38
tn,2022-12-10,5.52
tx,2022-12-10,5.78
ut,2022-12-10,5.66
va,2022-12-10,5.23
vt,2022-12-10,7.02
wa,2022-12-10,9.26
wi,2022-12-10,5.84
wv,2022-12-10,7.53
wy,2022-12-10,5.52
ak,2022-12-17,7.91
al,2022-12-17,2.19
ar,2022-12-17,3.56
az,2022-12-17,4.94
ca,2022-12-17,4.39
co,2022-12-17,5.89
ct,2022-12-17,5.73
dc,2022-12-17,2.76
de,2022-12-17,6.56
fl,2022-12-17,3.73
ga,2022-12-17,1.34
hi,2022-12-17,3.09
ia,2022-12-17,8.07
id,2022-12-17,8.34
il,2022-12-17,6.62
in,2022-12-17,9.78
ks,2022-12-17,7.04
ky,2022-12-17,4.91
la,2022-12-17,3.06
ma,2022-12-17,7.64
md,2022-12-17,3.28
me,2022-12-17,10.44
mi,2022-12-17,8.54
mn,2022-12-17,5.84
ms,2022-12-17,2.77
mt,2022-12-17,7.07
nc,2022-12-17,4.01
nd,2022-12-17,10.16
ne,2022-12-17,7.75
nh,2022-12-17,7.73
nj,2022-12-17,4.71
nm,2022-12-17,12.67
nv,2022-12-17,5.65
ny,2022-12-17,5.09
