,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
361,hi,pct_ed_visits_covid,202246,202551,161,2.19,,,state,nssp
362,ia,pct_ed_visits_covid,202246,202551,161,2.76,,,state,nssp
363,id,pct_ed_visits_covid,202246,202551,161,2.35,,,state,nssp
364,il,pct_ed_visits_covid,202246,202551,161,2.41,,,state,nssp
365,in,pct_ed_visits_covid,202246,202551,161,2.07,,,state,nssp
366,ks,pct_ed_visits_covid,202246,202551,161,1.95,,,state,nssp
367,ky,pct_ed_visits_covid,202246,202551,161,1.65,,,state,nssp
368,la,pct_ed_visits_covid,202246,202551,161,0.94,,,state,nssp
369,ma,pct_ed_visits_covid,202246,202551,161,2.06,,,state,nssp
370,md,pct_ed_visits_covid,202246,202551,161,1.96,,,state,nssp
371,me,pct_ed_visits_covid,202246,202551,161,1.63,,,state,nssp
372,mi,pct_ed_visits_covid,202246,202551,161,2.31,,,state,nssp
373,mn,pct_ed_visits_covid,202246,202551,161,2.66,,,state,nssp
374,ms,pct_ed_visits_covid,202246,202551,161,0.87,,,state,nssp
375,mt,pct_ed_visits_covid,202246,202551,161,2.27,,,state,nssp
