geo_value,time_value,value
vt,2022-12-10,2.48
wa,2022-12-10,2.79
wi,2022-12-10,2.44
wv,2022-12-10,2.52
wy,2022-12-10,2.85
ak,2022-12-17,2.34
al,2022-12-17,2.77
ar,2022-12-17,2.19
az,2022-12-17,4.13
ca,2022-12-17,3.05
co,2022-12-17,2.58
ct,2022-12-17,3.82
dc,2022-12-17,3.86
de,2022-12-17,2.97
fl,2022-12-17,2.41
ga,2022-12-17,1.84
hi,2022-12-17,2.47
ia,2022-12-17,3.34
id,2022-12-17,2.3
il,2022-12-17,4.06
in,2022-12-17,3.86
ks,2022-12-17,3.12
ky,2022-12-17,2.72
la,2022-12-17,2.19
ma,2022-12-17,3.86
md,2022-12-17,3.82
me,2022-12-17,2.14
mi,2022-12-17,3.39
mn,2022-12-17,2.74
ms,2022-12-17,2.57
mt,2022-12-17,2.84
nc,2022-12-17,3.61
nd,2022-12-17,3.58
ne,2022-12-17,3.01
nh,2022-12-17,2.77
nj,2022-12-17,3.16
nm,2022-12-17,3.41
nv,2022-12-17,2.27
ny,2022-12-17,2.84
oh,2022-12-17,3.1
ok,2022-12-17,3.14
or,2022-12-17,2.6
pa,2022-12-17,2.49
ri,2022-12-17,2.61
sc,2022-12-17,3.59
sd,2022-12-17,1.58
tn,2022-12-17,2.7
tx,2022-12-17,2.52
ut,2022-12-17,3.38
va,2022-12-17,3.75
vt,2022-12-17,2.68
wa,2022-12-17,2.83
wi,2022-12-17,2.67
wv,2022-12-17,2.92
wy,2022-12-17,2.36
ak,2022-12-24,1.76
al,2022-12-24,3.59
ar,2022-12-24,2.65
az,2022-12-24,3.83
ca,2022-12-24,3.24
co,2022-12-24,2.25
ct,2022-12-24,4.63
dc,2022-12-24,4.55
de,2022-12-24,3.34
fl,2022-12-24,2.75
ga,2022-12-24,2.18
hi,2022-12-24,3.2
ia,2022-12-24,3.43
id,2022-12-24,2.32
il,2022-12-24,4.15
in,2022-12-24,3.67
ks,2022-12-24,3.15
ky,2022-12-24,3.32
la,2022-12-24,2.94
ma,2022-12-24,4.54
md,2022-12-24,4.44
me,2022-12-24,2.36
mi,2022-12-24,3.43
mn,2022-12-24,2.96
ms,2022-12-24,3.34
mt,2022-12-24,2.68
nc,2022-12-24,4.8
nd,2022-12-24,2.9
ne,2022-12-24,2.57
nh,2022-12-24,2.97
nj,2022-12-24,3.62
nm,2022-12-24,3.23
nv,2022-12-24,2.45
ny,2022-12-24,3.16
oh,2022-12-24,3.32
ok,2022-12-24,3.04
or,2022-12-24,2.58
pa,2022-12-24,2.67
ri,2022-12-24,3.33
sc,2022-12-24,4.67
sd,2022-12-24,1.54
tn,2022-12-24,3.22
tx,2022-12-24,3.19
ut,2022-12-24,3.17
va,2022-12-24,4.92
vt,2022-12-24,3.04
wa,2022-12-24,3.08
wi,2022-12-24,2.62
wv,2022-12-24,4.09
wy,2022-12-24,2.52
ak,2022-12-31,2.41
al,2022-12-31,4.82
ar,2022-12-31,3.34
az,2022-12-31,3.61
ca,2022-12-31,3.65
co,2022-12-31,2.24
ct,2022-12-31,5.46
dc,2022-12-31,5.27
de,2022-12-31,4.43
fl,2022-12-31,3.65
ga,2022-12-31,2.86
hi,2022-12-31,3.45
ia,2022-12-31,3.3
id,2022-12-31,2.18
il,2022-12-31,4
in,2022-12-31,3.69
ks,2022-12-31,3.08
ky,2022-12-31,3.71
la,2022-12-31,3.99
ma,2022-12-31,5.37
md,2022-12-31,4.79
me,2022-12-31,2.46
mi,2022-12-31,3.48
mn,2022-12-31,2.9
ms,2022-12-31,5.15
mt,2022-12-31,2.88
nc,2022-12-31,6.14
nd,2022-12-31,2.98
ne,2022-12-31,2.04
nh,2022-12-31,3.25
nj,2022-12-31,4.34
nm,2022-12-31,3.44
nv,2022-12-31,2.6
ny,2022-12-31,3.46
oh,2022-12-31,3.25
ok,2022-12-31,3.81
or,2022-12-31,2.6
pa,2022-12-31,3.15
ri,2022-12-31,4.09
sc,2022-12-31,5.82
sd,2022-12-31,1.04
tn,2022-12-31,3.83
tx,2022-12-31,4.14
ut,2022-12-31,3.47
va,2022-12-31,6
vt,2022-12-31,2.85
wa,2022-12-31,2.98
wi,2022-12-31,2.77
wv,2022-12-31,4.89
wy,2022-12-31,2.02
ak,2023-01-07,2.16
al,2023-01-07,4.2
ar,2023-01-07,2.82
az,2023-01-07,2.71
ca,2023-01-07,2.87
co,2023-01-07,1.74
ct,2023-01-07,4.73
dc,2023-01-07,4.06
de,2023-01-07,4.14
fl,2023-01-07,3.44
ga,2023-01-07,3.27
hi,2023-01-07,3.05
ia,2023-01-07,3.12
id,2023-01-07,1.92
il,2023-01-07,3.19
in,2023-01-07,3.04
ks,2023-01-07,2.49
ky,2023-01-07,2.93
la,2023-01-07,3.89
ma,2023-01-07,4.86
md,2023-01-07,4.2
me,2023-01-07,3.14
mi,2023-01-07,2.76
mn,2023-01-07,2.33
ms,2023-01-07,4.12
mt,2023-01-07,1.81
nc,2023-01-07,5.38
nd,2023-01-07,2.11
ne,2023-01-07,1.88
nh,2023-01-07,3.35
nj,2023-01-07,4
nm,2023-01-07,2.84
nv,2023-01-07,2.12
ny,2023-01-07,3.2
oh,2023-01-07,2.54
ok,2023-01-07,3.38
or,2023-01-07,2.3
pa,2023-01-07,2.74
ri,2023-01-07,3.57
sc,2023-01-07,4.88
sd,2023-01-07,0.93
tn,2023-01-07,3.29
tx,2023-01-07,3.63
ut,2023-01-07,2.65
va,2023-01-07,5.05
vt,2023-01-07,2.78
wa,2023-01-07,2.86
wi,2023-01-07,2.34
wv,2023-01-07,4.29
wy,2023-01-07,1.85
ak,2023-01-14,2.1
al,2023-01-14,3.27
ar,2023-01-14,2.12
az,2023-01-14,1.87
ca,2023-01-14,1.97
co,2023-01-14,1.2
ct,2023-01-14,3.77
dc,2023-01-14,3.77
de,2023-01-14,3.03
fl,2023-01-14,2.85
ga,2023-01-14,2.35
hi,2023-01-14,2.55
ia,2023-01-14,2.47
id,2023-01-14,1.62
il,2023-01-14,2.43
in,2023-01-14,2.22
ks,2023-01-14,1.89
ky,2023-01-14,2.56
la,2023-01-14,3.18
ma,2023-01-14,4.2
md,2023-01-14,3.29
me,2023-01-14,2.54
mi,2023-01-14,2.02
mn,2023-01-14,2.17
ms,2023-01-14,3.37
mt,2023-01-14,1.58
nc,2023-01-14,3.99
nd,2023-01-14,2.32
ne,2023-01-14,1.31
nh,2023-01-14,2.67
nj,2023-01-14,3.33
nm,2023-01-14,2.18
nv,2023-01-14,1.44
ny,2023-01-14,2.54
oh,2023-01-14,1.85
ok,2023-01-14,2.57
or,2023-01-14,1.93
pa,2023-01-14,2.35
ri,2023-01-14,2.73
sc,2023-01-14,3.54
sd,2023-01-14,1.02
tn,2023-01-14,2.6
tx,2023-01-14,2.64
ut,2023-01-14,1.8
va,2023-01-14,3.87
vt,2023-01-14,2.49
wa,2023-01-14,2.66
wi,2023-01-14,1.95
wv,2023-01-14,3.21
wy,2023-01-14,1.62
ak,2023-01-21,2.38
al,2023-01-21,2.95
ar,2023-01-21,1.46
az,2023-01-21,1.6
ca,2023-01-21,1.53
co,2023-01-21,1.37
ct,2023-01-21,3.1
dc,2023-01-21,3.02
de,2023-01-21,2.72
fl,2023-01-21,2.61
ga,2023-01-21,2.11
hi,2023-01-21,2.81
ia,2023-01-21,2.37
id,2023-01-21,1.48
il,2023-01-21,2.24
in,2023-01-21,1.9
ks,2023-01-21,1.75
ky,2023-01-21,2.19
la,2023-01-21,2.83
ma,2023-01-21,3.38
md,2023-01-21,2.7
me,2023-01-21,2.6
mi,2023-01-21,1.86
mn,2023-01-21,2.26
ms,2023-01-21,2.94
mt,2023-01-21,1.63
nc,2023-01-21,3.44
nd,2023-01-21,2.05
ne,2023-01-21,1.17
nh,2023-01-21,2.42
nj,2023-01-21,3
nm,2023-01-21,1.78
nv,2023-01-21,1.19
ny,2023-01-21,2.23
oh,2023-01-21,1.63
ok,2023-01-21,2.61
or,2023-01-21,1.75
pa,2023-01-21,2.17
ri,2023-01-21,2.83
sc,2023-01-21,3
sd,2023-01-21,1.27
tn,2023-01-21,2.44
tx,2023-01-21,2.36
ut,2023-01-21,1.54
va,2023-01-21,3.47
vt,2023-01-21,3.09
wa,2023-01-21,2.6
wi,2023-01-21,1.72
wv,2023-01-21,2.81
wy,2023-01-21,1.35
ak,2023-01-28,2.34
al,2023-01-28,2.99
ar,2023-01-28,1.53
az,2023-01-28,1.52
ca,2023-01-28,1.49
co,2023-01-28,1.29
ct,2023-01-28,2.78
