geo_value,time_value,weekly_hosp,weekly_admits_p100K
ct,2022-02-15,0,0
dc,2022-02-15,0,0
de,2022-02-15,2,0.20538857464436966
fl,2022-02-15,58,0.27004707246391924
ga,2022-02-15,36,0.3390653268688645
hi,2022-02-15,0,0
ia,2022-02-15,48,1.5213608572868431
id,2022-02-15,0,0
il,2022-02-15,15,0.11837288421293199
in,2022-02-15,43,0.6387195663123852
ks,2022-02-15,29,0.9954299467891207
ky,2022-02-15,16,0.3581282694592912
la,2022-02-15,29,0.6238177041185305
ma,2022-02-15,36,0.522306627940532
md,2022-02-15,8,0.1323258922073282
me,2022-02-15,7,0.5207511910323669
mi,2022-02-15,43,0.4305658927528451
mn,2022-02-15,28,0.49648629555971024
mo,2022-02-15,48,0.7820865678587187
ms,2022-02-15,26,0.8736121746592661
mt,2022-02-15,8,0.7485184013892502
nc,2022-02-15,39,0.37185056870253896
nd,2022-02-15,8,1.0497833509609455
ne,2022-02-15,30,1.5508620725307174
nh,2022-02-15,10,0.735450400857241
nj,2022-02-15,26,0.2927206015633532
nm,2022-02-15,10,0.47691061121340844
nv,2022-02-15,6,0.19479532854829432
ny,2022-02-15,44,0.22617966962449704
oh,2022-02-15,30,0.2566493570933605
ok,2022-02-15,69,1.7437580411885758
or,2022-02-15,3,0.07112819030679247
pa,2022-02-15,75,0.5858464649516572
ri,2022-02-15,1,0.094396527718124415
sc,2022-02-15,19,0.3690241873990282
sd,2022-02-15,21,2.3737960050143614
tn,2022-02-15,27,0.3953626016850647
tx,2022-02-15,202,0.696650672555871
us,2022-02-15,1336,0.40701984568750427
ut,2022-02-15,4,0.12476769814202184
va,2022-02-15,42,0.4920614669125568
vt,2022-02-15,0,0
wa,2022-02-15,5,0.06566080442627362
wi,2022-02-15,31,0.5324233816991314
wv,2022-02-15,1,0.05579899416733114
wy,2022-02-15,2,0.3455669803838904
ak,2022-02-16,0,0
al,2022-02-16,15,0.3059235986404755
ar,2022-02-16,23,0.7621435984576864
az,2022-02-16,64,0.8792758394096102
ca,2022-02-16,21,0.05314811064920341
co,2022-02-16,22,0.38202827842776604
ct,2022-02-16,0,0
dc,2022-02-16,0,0
de,2022-02-16,3,0.3080828619665545
fl,2022-02-16,57,0.2653910884559207
ga,2022-02-16,37,0.3484838081707774
hi,2022-02-16,0,0
ia,2022-02-16,47,1.4896658394267006
id,2022-02-16,0,0
il,2022-02-16,21,0.16572203789810477
in,2022-02-16,43,0.6387195663123852
ks,2022-02-16,30,1.0297551173680557
ky,2022-02-16,18,0.4028943031417026
la,2022-02-16,32,0.6883505700618268
ma,2022-02-16,40,0.5803406977117022
md,2022-02-16,12,0.1984888383109923
me,2022-02-16,7,0.5207511910323669
mi,2022-02-16,45,0.4505922133460007
mn,2022-02-16,26,0.4610229887340167
mo,2022-02-16,56,0.9124343291685051
ms,2022-02-16,28,0.9408131111715172
mt,2022-02-16,7,0.6549536012155939
nc,2022-02-16,37,0.3527813087690755
nd,2022-02-16,5,0.6561145943505909
ne,2022-02-16,27,1.3957758652776457
nh,2022-02-16,11,0.8089954409429652
nj,2022-02-16,21,0.23642817818578526
nm,2022-02-16,11,0.5246016723347493
nv,2022-02-16,4,0.12986355236552954
ny,2022-02-16,45,0.2313201166614174
oh,2022-02-16,33,0.28231429280269654
ok,2022-02-16,71,1.794301752527375
or,2022-02-16,3,0.07112819030679247
pa,2022-02-16,78,0.6092803235497234
ri,2022-02-16,1,0.094396527718124415
sc,2022-02-16,22,0.42729116435676945
sd,2022-02-16,18,2.03468229001231
tn,2022-02-16,28,0.41000566100673375
tx,2022-02-16,226,0.7794210494932021
us,2022-02-16,1390,0.42347124663595126
ut,2022-02-16,3,0.09357577360651637
va,2022-02-16,42,0.4920614669125568
vt,2022-02-16,0,0
wa,2022-02-16,7,0.09192512619678307
wi,2022-02-16,28,0.48089853830889284
wv,2022-02-16,2,0.11159798833466228
wy,2022-02-16,1,0.1727834901919452
ak,2022-02-17,0,0
al,2022-02-17,20,0.40789813152063403
ar,2022-02-17,24,0.7952802766514989
az,2022-02-17,61,0.8380597844372848
ca,2022-02-17,17,0.043024661001736096
co,2022-02-17,18,0.31256859144089955
ct,2022-02-17,1,0.028048232863160806
dc,2022-02-17,0,0
de,2022-02-17,2,0.20538857464436966
fl,2022-02-17,57,0.2653910884559207
ga,2022-02-17,43,0.40499469598225485
hi,2022-02-17,0,0
ia,2022-02-17,48,1.5213608572868431
id,2022-02-17,0,0
il,2022-02-17,22,0.17361356351230026
in,2022-02-17,48,0.7129892833254533
ks,2022-02-17,29,0.9954299467891207
ky,2022-02-17,17,0.3805112863004969
la,2022-02-17,40,0.8604382125772835
ma,2022-02-17,44,0.6383747674828723
md,2022-02-17,11,0.18194810178507628
me,2022-02-17,6,0.44635816374202875
mi,2022-02-17,49,0.4906448545323118
mn,2022-02-17,29,0.5142179489725571
mo,2022-02-17,58,0.9450212694959518
ms,2022-02-17,27,0.9072126429153917
mt,2022-02-17,8,0.7485184013892502
nc,2022-02-17,37,0.3527813087690755
nd,2022-02-17,5,0.6561145943505909
ne,2022-02-17,33,1.7059482797837893
nh,2022-02-17,10,0.735450400857241
nj,2022-02-17,23,0.2589451475368124
nm,2022-02-17,10,0.47691061121340844
nv,2022-02-17,6,0.19479532854829432
ny,2022-02-17,43,0.22103922258757666
oh,2022-02-17,37,0.31653420708181124
ok,2022-02-17,70,1.7690298968579752
or,2022-02-17,5,0.11854698384465413
pa,2022-02-17,90,0.7030157579419886
ri,2022-02-17,1,0.094396527718124415
sc,2022-02-17,21,0.40786883870418905
sd,2022-02-17,17,1.921644385011626
tn,2022-02-17,31,0.453934838971741
tx,2022-02-17,245,0.8449475979019226
us,2022-02-17,1459,0.4444924811811891
ut,2022-02-17,3,0.09357577360651637
va,2022-02-17,38,0.44519847006374186
vt,2022-02-17,0,0
wa,2022-02-17,7,0.09192512619678307
wi,2022-02-17,26,0.44654864271540046
wv,2022-02-17,9,0.5021909475059803
wy,2022-02-17,1,0.1727834901919452
ak,2022-02-18,0,0
al,2022-02-18,22,0.4486879446726974
ar,2022-02-18,26,0.8615536330391238
az,2022-02-18,61,0.8380597844372848
ca,2022-02-18,15,0.037962936178002435
co,2022-02-18,20,0.3472984349343328
ct,2022-02-18,1,0.028048232863160806
dc,2022-02-18,1,0.14169343491807992
de,2022-02-18,2,0.20538857464436966
fl,2022-02-18,66,0.3072949445279081
ga,2022-02-18,46,0.4332501398879936
hi,2022-02-18,0,0
ia,2022-02-18,45,1.4262758037064154
id,2022-02-18,1,0.0559576736156771
il,2022-02-18,24,0.18939661474069117
in,2022-02-18,55,0.8169668871437485
ks,2022-02-18,31,1.064080287946991
ky,2022-02-18,20,0.447660336824114
la,2022-02-18,39,0.8389272572628514
ma,2022-02-18,48,0.6964088372540426
md,2022-02-18,13,0.21502957483690835
me,2022-02-18,5,0.37196513645169066
mi,2022-02-18,52,0.5206843354220452
mn,2022-02-18,30,0.5319496023854039
mo,2022-02-18,57,0.9287277993322284
ms,2022-02-18,26,0.8736121746592661
mt,2022-02-18,7,0.6549536012155939
nc,2022-02-18,35,0.33371204883561195
nd,2022-02-18,5,0.6561145943505909
ne,2022-02-18,32,1.6542528773660985
nh,2022-02-18,8,0.5883603206857928
nj,2022-02-18,27,0.30397908623886677
nm,2022-02-18,7,0.3338374278493859
nv,2022-02-18,6,0.19479532854829432
ny,2022-02-18,40,0.20561788147681545
oh,2022-02-18,40,0.3421991427911473
ok,2022-02-18,78,1.9712047422131727
or,2022-02-18,5,0.11854698384465413
pa,2022-02-18,91,0.7108270441413439
ri,2022-02-18,1,0.094396527718124415
sc,2022-02-18,20,0.38844651305160866
sd,2022-02-18,15,1.6955685750102583
tn,2022-02-18,29,0.4246487203284028
tx,2022-02-18,266,0.9173716777220875
us,2022-02-18,1512,0.46063922655651685
ut,2022-02-18,4,0.12476769814202184
va,2022-02-18,39,0.4569142192759456
vt,2022-02-18,0,0
wa,2022-02-18,6,0.07879296531152834
wi,2022-02-18,25,0.4293736949186543
wv,2022-02-18,10,0.5579899416733114
wy,2022-02-18,2,0.3455669803838904
ak,2022-02-19,0,0
al,2022-02-19,20,0.40789813152063403
ar,2022-02-19,32,1.0603737022019986
az,2022-02-19,66,0.9067532093911606
