geo_value,time_value,weekly_hosp,weekly_admits_p100K
ms,2020-11-21,854,28.69479989073128
mt,2020-11-21,598,55.951750503846455
nc,2020-11-21,1497,14.273341060197458
nd,2020-11-21,410,53.80139673674846
ne,2020-11-21,944,48.800459882299904
nh,2020-11-21,88,6.471963527543721
nj,2020-11-21,2314,26.05213353913843
nm,2020-11-21,849,40.48971089201838
nv,2020-11-21,989,32.10876332237718
ny,2020-11-21,3115,16.012492520007005
oh,2020-11-21,4427,37.87289012841023
ok,2020-11-21,2306,58.27689917363559
or,2020-11-21,356,8.440545249739374
pa,2020-11-21,3410,26.636485939802007
ri,2020-11-21,179,16.89697846154427
sc,2020-11-21,602,11.692240042853419
sd,2020-11-21,485,54.823383925331676
tn,2020-11-21,1844,27.00180138915775
tx,2020-11-21,8401,28.973080693771646
us,2020-11-21,82547,25.148403594286236
ut,2020-11-21,655,20.430710570756073
va,2020-11-21,954,11.176824748442362
vt,2020-11-21,25,4.006480883477113
wa,2020-11-21,638,8.378318644792515
wi,2020-11-21,3277,56.28230392993721
wv,2020-11-21,394,21.98480370192847
wy,2020-11-21,260,44.92370744990575
ak,2020-11-22,129,17.633911789431956
al,2020-11-22,1403,28.614053926172478
ar,2020-11-22,934,30.949657433020832
az,2020-11-22,1746,23.987743993893428
ca,2020-11-22,5392,13.646410124785943
co,2020-11-22,1885,32.73287749256087
ct,2020-11-22,716,20.082534730023138
dc,2020-11-22,139,19.69538745361311
de,2020-11-22,172,17.663417419415794
fl,2020-11-22,3817,17.771890958530687
ga,2020-11-22,2612,24.6010731605965
hi,2020-11-22,49,3.4607648148985217
ia,2020-11-22,1400,44.37302500419959
id,2020-11-22,404,22.60690014073355
il,2020-11-22,4503,35.53553984072218
in,2020-11-22,2489,36.971465129105276
ks,2020-11-22,1249,42.872138053090055
ky,2020-11-22,2532,56.67379864193284
la,2020-11-22,1049,22.564992124839257
ma,2020-11-22,911,13.217259390384015
md,2020-11-22,1311,21.68490558547591
me,2020-11-22,102,7.58808878361449
mi,2020-11-22,3283,32.87320525366489
mn,2020-11-22,1658,29.399081358499988
mo,2020-11-22,2369,38.599230817860516
